group,names,scores,logfoldchanges,pvals,pvals_adj
Cluster 0,FCER1A,18.223074,9.310077,3.3859325662753357e-74,2.590238413200632e-71
Cluster 0,LYZ,18.00243,5.5667295,1.864557270466037e-72,7.131931559532592e-70
Cluster 0,HLA-DRB1,17.044073,3.225562,3.868228412152052e-65,9.863982450987733e-63
Cluster 0,HLA-DRA,16.98774,3.8423235,1.0121545735095583e-64,1.9357456218370304e-62
Cluster 0,HLA-DQA1,16.961584,3.9601398,1.5802587170571365e-64,2.417795837097419e-62
Cluster 0,CST3,16.59295,4.5919347,7.837271598727873e-62,9.992521288378037e-60
Cluster 0,CD74,16.525215,2.6870053,2.415735945467848e-61,2.640054283261291e-59
Cluster 0,HLA-DQA2,16.310831,3.4558733,8.265917343258027e-60,7.904283459490488e-58
Cluster 0,HLA-DPB1,16.264557,3.5880492,1.7613563276014907e-59,1.497152878461267e-57
Cluster 0,HLA-DRB5,16.156359,2.8999498,1.0243529964943989e-58,7.836300423182151e-57
Cluster 0,HLA-DQB1,15.919397,3.4406252,4.648346976195039e-57,3.232714033444732e-55
Cluster 0,CLEC10A,15.675282,8.922384,2.232350339485461e-55,1.4231233414219815e-53
Cluster 0,HLA-DMA,15.391597,3.224867,1.8637489856812537e-53,1.0967445954201225e-51
Cluster 0,HLA-DPA1,14.991891,3.1407723,8.295754781953969e-51,4.533037434424847e-49
Cluster 0,AMICA1,14.885035,3.3841448,4.1227584703572923e-50,2.1026068198822193e-48
Cluster 0,GPX1,14.8325,2.420385,9.030598680027285e-50,4.317754993888046e-48
Cluster 0,HLA-DMB,14.553063,3.2748892,5.584516463856085e-48,2.513032408735238e-46
Cluster 0,LGALS2,13.375182,5.2327,8.444699078353022e-41,3.588997108300034e-39
Cluster 0,GSTP1,12.239551,1.9811916,1.9108670945060093e-34,7.693754354195249e-33
Cluster 0,AP2S1,11.279183,1.6955972,1.6628310242295494e-29,5.782116970616388e-28
Cluster 0,CPVL,11.223295,2.8530765,3.133702157463367e-29,1.0422965871562939e-27
Cluster 0,CFP,11.015171,2.5653772,3.229221860752258e-28,1.0293144681147822e-26
Cluster 0,FOS,10.997511,1.8675599,3.9282604062950952e-28,1.2020476843262991e-26
Cluster 0,CTSH,10.967779,2.432093,5.459719660876723e-28,1.6064175156041128e-26
Cluster 0,MNDA,10.56852,2.8504605,4.170256195442137e-26,1.139373567683298e-24
Cluster 0,CD33,10.173955,3.1841552,2.591669469213658e-24,6.836645323960167e-23
Cluster 0,VIM,9.964266,1.1513587,2.1848247754008644e-23,5.5713031772722045e-22
Cluster 0,LY86,9.439372,2.2011418,3.750211856668303e-21,9.254555065649199e-20
Cluster 0,CAPG,9.368731,2.2574728,7.341038905259739e-21,1.7549671132886565e-19
Cluster 0,RNF130,9.216046,2.3574655,3.082581585433003e-20,7.145984584412871e-19
Cluster 0,CNPY3,9.12685,1.7380804,7.052150292058166e-20,1.5867338157130872e-18
Cluster 0,EIF4A1,8.977295,1.0169908,2.7750454191218296e-19,6.065456416080571e-18
Cluster 0,RNH1,8.276691,1.5376456,1.2664474710726415e-16,2.549558724659397e-15
Cluster 0,TYMP,8.068567,1.7744733,7.112799533786542e-16,1.360322910836676e-14
Cluster 0,S100A10,8.055154,1.2110384,7.937873697625742e-16,1.4810910679716325e-14
Cluster 0,H2AFY,7.733243,1.4590402,1.0484088202372399e-14,1.7435494510467141e-13
Cluster 0,C1orf162,7.5463557,1.5205342,4.4760630650897416e-14,6.988139275089087e-13
Cluster 0,SPINT2,7.335549,2.082456,2.208149064047009e-13,3.187234026407475e-12
Cluster 0,C20orf27,7.226904,1.5985261,4.941301408185827e-13,7.000176994929921e-12
Cluster 0,SPI1,7.1824174,1.6216247,6.848944146867541e-13,9.417557254009105e-12
Cluster 0,ANXA1,7.020791,1.4191573,2.206153215687003e-12,2.8605206949161988e-11
Cluster 0,LAMTOR1,6.927124,1.2342821,4.294820227845609e-12,5.3861270070522807e-11
Cluster 0,TYROBP,6.7764516,2.2438698,1.231631569272492e-11,1.4955526198308833e-10
Cluster 0,S100A9,6.7100577,2.0063806,1.945476016376087e-11,2.325451800824542e-10
Cluster 0,CD63,6.5057335,1.3058506,7.731519411477628e-11,8.827779626537889e-10
Cluster 0,S100A6,6.3302474,0.8762891,2.447686762223154e-10,2.7137396711604535e-09
Cluster 0,PLD4,6.2716775,2.1121347,3.5717924839494264e-10,3.903458928887587e-09
Cluster 0,LST1,6.219814,1.8836889,4.977450355238782e-10,5.363027495433335e-09
Cluster 0,SRGN,5.9068446,0.91873,3.487220961275182e-09,3.556965380500686e-08
Cluster 0,TIMP1,5.8489456,1.2413305,4.946992331721305e-09,4.979538333903682e-08
Cluster 0,LGALS3,5.694473,1.2543654,1.2375367053405708e-08,1.229500752708489e-07
Cluster 0,IGFBP7,5.687543,1.951506,1.2888028832837188e-08,1.2640182124513396e-07
Cluster 0,NDUFS8,5.4237547,1.1747102,5.835999634645741e-08,5.314928238695229e-07
Cluster 0,FCER1G,5.399164,1.6987879,6.69520930520367e-08,5.955622230791636e-07
Cluster 0,TNFSF13B,4.959219,2.1093264,7.077713940042212e-07,5.711875604780616e-06
Cluster 0,APEX1,4.95676,1.1552569,7.167843896195282e-07,5.711875604780616e-06
Cluster 0,AIF1,4.8315725,1.4798797,1.354589913040648e-06,1.0574094729347915e-05
Cluster 0,S100A4,4.623448,0.8208419,3.774136192479464e-06,2.8872141872467896e-05
Cluster 0,RNASET2,4.453774,0.76299226,8.437394913002582e-06,6.0892519891009196e-05
Cluster 0,ATP5J2,4.3860383,0.81977427,1.1543372448662131e-05,8.252971890865916e-05
Cluster 0,COMT,4.242296,1.0966158,2.2124441130247233e-05,0.0001538654314967194
Cluster 0,ANXA5,4.123368,0.7093853,3.7337254161745136e-05,0.00024837390811943504
Cluster 0,RPS24,4.095424,0.29959986,4.213959378476316e-05,0.00027790335556330875
Cluster 0,S100A8,4.0690455,2.475789,4.720613743806524e-05,0.00030865551401811883
Cluster 0,IL1B,3.9827554,3.3735156,6.812085476607779e-05,0.0004379197806390715
Cluster 0,TAGLN2,3.9617417,0.6591792,7.440498944884924e-05,0.0004665558764620465
Cluster 0,PLP2,3.9340217,0.96517146,8.35362559765395e-05,0.0005071844112861327
Cluster 0,SERPINF1,3.930445,2.4859502,8.47888393994157e-05,0.0005107359223665591
Cluster 0,BST2,3.9230678,0.8084456,8.742856155288503e-05,0.0005225222624059145
Cluster 0,PKM,3.815317,0.6592747,0.0001360082562879302,0.0007942466874829512
Cluster 0,IFI30,3.7824552,0.9090308,0.00015528906234800425,0.0008999707022441156
Cluster 0,FCN1,3.67694,0.8972387,0.00023604864458794147,0.001347591142610263
Cluster 0,FTL,3.6378188,0.13991907,0.0002749568124820759,0.0015580886040650966
Cluster 0,RAB7A,3.6040628,0.81415266,0.00031328132197239444,0.0017118586522062982
Cluster 0,PPA1,3.5526464,0.7614981,0.0003813766847285851,0.0020260636376206085
Cluster 0,ARL4C,3.5407984,1.1137605,0.00039891838147221694,0.0021046383574223858
Cluster 0,CXCR4,3.4652386,0.9951909,0.0005297611772705334,0.0027017820040797207
Cluster 0,ITGB2,3.4562967,0.6125909,0.0005476522266987903,0.0027745294928779776
Cluster 0,ACAA1,3.4013035,0.97141135,0.0006706531997293272,0.003331491544109969
Cluster 0,PTPLAD2,3.3796191,1.3162972,0.000725863156362551,0.0035368491376901374
Cluster 0,FUOM,3.2642677,1.3612841,0.0010974739442492292,0.005088288286973699
Cluster 0,GABARAPL2,3.247278,0.6633333,0.001165145175665433,0.0053373416729584205
Cluster 0,ALKBH7,3.1788719,0.7038615,0.0014784941361137424,0.006537849792641693
Cluster 0,RGS10,3.1408684,0.7037601,0.0016844763938533246,0.00736356823598739
Cluster 0,JUNB,3.1310322,0.5992099,0.0017419297598762998,0.007571456058553235
Cluster 0,PPP1R14A,3.0928054,1.7996591,0.0019827410424091653,0.00847372568403917
Cluster 0,CAT,3.0396006,0.7719864,0.002368920302278553,0.010012287465431454
Cluster 0,IL18,2.9316263,3.081497,0.003371922122545617,0.013943353641877822
Cluster 0,PHB,2.8916109,0.6962207,0.00383272203566717,0.015679317418638424
Cluster 0,UNC93B1,2.8840103,0.8820099,0.003926459124936388,0.01597734697115073
Cluster 0,CD4,2.7905667,1.070409,0.005261586341721757,0.020855510629104373
Cluster 0,CSTB,2.7872133,0.53684807,0.0053163452696330365,0.020963938820975636
Cluster 0,HMGA1,2.7380326,0.6736416,0.006180795508181248,0.023880346281609365
Cluster 0,GNAI2,2.7326674,0.7156501,0.00628237409509818,0.024150835089196517
Cluster 0,LAT2,2.7053943,1.0460074,0.006822334395437344,0.02583705847777014
Cluster 0,DHRS4L2,2.6647084,0.91632164,0.0077055111579387905,0.028895666842270466
Cluster 0,SUPT4H1,2.5971966,0.61793983,0.009398814745597412,0.03440236019321541
Cluster 0,NENF,2.540862,0.69295186,0.01105795459453079,0.039529604041196514
Cluster 0,AOAH,2.5308022,1.3307426,0.011380196937400135,0.040304864153292146
Cluster 0,CTSS,2.4813979,0.45963094,0.013086819562370178,0.04495059630351136
Cluster 0,GPX4,2.4505482,0.41965765,0.014263890807562372,0.04806994038671901
Cluster 0,C16orf74,2.4196982,1.1467712,0.015533389776354514,0.052118610433821065
Cluster 0,MLF2,2.4009202,0.6595862,0.016353905538802883,0.054632042520455046
Cluster 0,PHPT1,2.325137,0.69275427,0.020064641233315784,0.06587747014371921
Cluster 0,PRDX6,2.2757325,0.53839517,0.02286202558583142,0.07227045278165717
Cluster 0,MTDH,2.2379527,0.5204014,0.02522414327473201,0.07876110042926526
Cluster 0,COPE,2.2337053,0.36050403,0.025502476034769163,0.07930648035202605
Cluster 0,CCDC50,2.1923485,1.01655,0.028354346646504665,0.0864186262333708
Cluster 0,MTCH2,2.139591,0.6832186,0.03238784038828448,0.09540144835419051
Cluster 0,HIGD2A,2.139144,0.3297956,0.03242402166286214,0.09540144835419051
Cluster 0,TALDO1,2.123272,0.46291834,0.03373108025652658,0.0988669593725779
Cluster 0,BID,2.1194715,0.48916262,0.034050641036054145,0.09942267325412756
Cluster 0,PARK7,2.0883982,0.3901534,0.03676193650536028,0.10652606600985082
Cluster 0,TOP1,2.085492,0.8058628,0.03702466511528665,0.10688252382337467
Cluster 0,H1FX,2.0807974,0.53493875,0.0374524499907166,0.10771099339435412
Cluster 0,ATP5B,2.0723026,0.38713208,0.038237232827052166,0.10955611652694722
Cluster 0,LRRC25,2.0644784,0.4839763,0.03897238518758837,0.1112458010018847
Cluster 0,IRF8,1.9779648,0.7790742,0.047932684458255506,0.13142832835328122
Cluster 0,PSAP,1.9672344,0.3520677,0.04915619716164434,0.13382381077814207
Cluster 0,ID2,1.9363846,0.455464,0.05282061911959352,0.14228089305101776
Cluster 0,EIF3L,1.9207361,0.325731,0.0547649854304729,0.14597635489307237
Cluster 0,LAMTOR4,1.9100057,0.37433022,0.056132474884335155,0.14910188641151526
Cluster 0,IFT20,1.902405,0.68969136,0.05711822042291126,0.15067392628802453
Cluster 0,ERP29,1.8934631,0.34912616,0.05829631323126468,0.15325319457703604
Cluster 0,ARF6,1.8451765,0.51426303,0.0650118793428938,0.1657802923243792
Cluster 0,SDHC,1.8158915,0.51014197,0.06938702443765396,0.1757651446847857
Cluster 0,MFSD1,1.80069,1.0479705,0.07175173919485829,0.1811553811355333
Cluster 0,SPIB,1.7676048,0.938584,0.0771269962463415,0.19042183079504307
Cluster 0,PPIB,1.7224479,0.35542732,0.08498842712439106,0.2047454926719268
